"State","Season","_WeekendDate","AgeCategory_Legend","Sex_Label","Race_Label","Type","WeeklyRate","CumulativeRate"
"Utah","2020-21","2021-10-02","6mo-<12 months","All","All","Crude Rate","12.4","62.2"
"Utah","2020-21","2021-09-25","6mo-<12 months","All","All","Crude Rate","0.0","49.8"
"Utah","2020-21","2021-09-18","6mo-<12 months","All","All","Crude Rate","0.0","49.8"
"Utah","2020-21","2021-09-11","6mo-<12 months","All","All","Crude Rate","0.0","49.8"
"Utah","2020-21","2021-09-04","6mo-<12 months","All","All","Crude Rate","0.0","49.8"
"Utah","2020-21","2021-08-28","6mo-<12 months","All","All","Crude Rate","24.9","49.8"
"Utah","2020-21","2021-08-21","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-08-14","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-08-07","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-07-31","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-07-24","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-07-17","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-07-10","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-07-03","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-06-26","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-06-19","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-06-12","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-06-05","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-05-29","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-05-22","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-05-15","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-05-08","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-05-01","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-04-24","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-04-17","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-04-10","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-04-03","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-03-27","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-03-20","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-03-13","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-03-06","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-02-27","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-02-20","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-02-13","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-02-06","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-01-30","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-01-23","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-01-16","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-01-09","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2021-01-02","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2020-12-26","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2020-12-19","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2020-12-12","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2020-12-05","6mo-<12 months","All","All","Crude Rate","0.0","24.9"
"Utah","2020-21","2020-11-28","6mo-<12 months","All","All","Crude Rate","12.4","24.9"
"Utah","2020-21","2020-11-21","6mo-<12 months","All","All","Crude Rate","0.0","12.4"
"Utah","2020-21","2020-11-14","6mo-<12 months","All","All","Crude Rate","0.0","12.4"
"Utah","2020-21","2020-11-07","6mo-<12 months","All","All","Crude Rate","0.0","12.4"
"Utah","2020-21","2020-10-31","6mo-<12 months","All","All","Crude Rate","0.0","12.4"
"Utah","2020-21","2020-10-24","6mo-<12 months","All","All","Crude Rate","0.0","12.4"
"Utah","2020-21","2020-10-17","6mo-<12 months","All","All","Crude Rate","0.0","12.4"
"Utah","2020-21","2020-10-10","6mo-<12 months","All","All","Crude Rate","0.0","12.4"
"Utah","2020-21","2020-10-03","6mo-<12 months","All","All","Crude Rate","12.4","12.4"
"Tennessee","2020-21","2021-10-02","6mo-<12 months","All","All","Crude Rate","0.0","53.8"
"Tennessee","2020-21","2021-09-25","6mo-<12 months","All","All","Crude Rate","0.0","53.8"
"Tennessee","2020-21","2021-09-18","6mo-<12 months","All","All","Crude Rate","0.0","53.8"
"Tennessee","2020-21","2021-09-11","6mo-<12 months","All","All","Crude Rate","0.0","53.8"
"Tennessee","2020-21","2021-09-04","6mo-<12 months","All","All","Crude Rate","17.9","53.8"
"Tennessee","2020-21","2021-08-28","6mo-<12 months","All","All","Crude Rate","9.0","35.8"
"Tennessee","2020-21","2021-08-21","6mo-<12 months","All","All","Crude Rate","0.0","26.9"
"Tennessee","2020-21","2021-08-14","6mo-<12 months","All","All","Crude Rate","0.0","26.9"
"Tennessee","2020-21","2021-08-07","6mo-<12 months","All","All","Crude Rate","0.0","26.9"
"Tennessee","2020-21","2021-07-31","6mo-<12 months","All","All","Crude Rate","0.0","26.9"
"Tennessee","2020-21","2021-07-24","6mo-<12 months","All","All","Crude Rate","0.0","26.9"
"Tennessee","2020-21","2021-07-17","6mo-<12 months","All","All","Crude Rate","0.0","26.9"
"Tennessee","2020-21","2021-07-10","6mo-<12 months","All","All","Crude Rate","0.0","26.9"
"Tennessee","2020-21","2021-07-03","6mo-<12 months","All","All","Crude Rate","0.0","26.9"
"Tennessee","2020-21","2021-06-26","6mo-<12 months","All","All","Crude Rate","0.0","26.9"
"Tennessee","2020-21","2021-06-19","6mo-<12 months","All","All","Crude Rate","0.0","26.9"
"Tennessee","2020-21","2021-06-12","6mo-<12 months","All","All","Crude Rate","0.0","26.9"
"Tennessee","2020-21","2021-06-05","6mo-<12 months","All","All","Crude Rate","0.0","26.9"
"Tennessee","2020-21","2021-05-29","6mo-<12 months","All","All","Crude Rate","0.0","26.9"
"Tennessee","2020-21","2021-05-22","6mo-<12 months","All","All","Crude Rate","0.0","26.9"
"Tennessee","2020-21","2021-05-15","6mo-<12 months","All","All","Crude Rate","0.0","26.9"
"Tennessee","2020-21","2021-05-08","6mo-<12 months","All","All","Crude Rate","0.0","26.9"
"Tennessee","2020-21","2021-05-01","6mo-<12 months","All","All","Crude Rate","0.0","26.9"
"Tennessee","2020-21","2021-04-24","6mo-<12 months","All","All","Crude Rate","0.0","26.9"
"Tennessee","2020-21","2021-04-17","6mo-<12 months","All","All","Crude Rate","0.0","26.9"
"Tennessee","2020-21","2021-04-10","6mo-<12 months","All","All","Crude Rate","0.0","26.9"
"Tennessee","2020-21","2021-04-03","6mo-<12 months","All","All","Crude Rate","0.0","26.9"
"Tennessee","2020-21","2021-03-27","6mo-<12 months","All","All","Crude Rate","0.0","26.9"
"Tennessee","2020-21","2021-03-20","6mo-<12 months","All","All","Crude Rate","0.0","26.9"
"Tennessee","2020-21","2021-03-13","6mo-<12 months","All","All","Crude Rate","0.0","26.9"
"Tennessee","2020-21","2021-03-06","6mo-<12 months","All","All","Crude Rate","0.0","26.9"
"Tennessee","2020-21","2021-02-27","6mo-<12 months","All","All","Crude Rate","0.0","26.9"
"Tennessee","2020-21","2021-02-20","6mo-<12 months","All","All","Crude Rate","0.0","26.9"
"Tennessee","2020-21","2021-02-13","6mo-<12 months","All","All","Crude Rate","9.0","26.9"
