variant,start_date,n_weeks,peak_share_pct,peak_date,immune_escape_lo,immune_escape_hi
B.1.2,1/30/21,,40.8,1/30/21,0.0,0.0
B.1.1.7,1/30/21,0,69.8,5/15/21,0.66,0.66
B.1.617.2,1/30/21,0,99.05,10/30/21,0.8,0.83
B.1.1.529,5/15/21,15,46.53,1/1/22,0.95,0.97
BA.1.1,5/15/21,0,76.33,2/19/22,0.97,0.97
BA.5,9/25/21,19,86.36,8/20/22,0.0,0.94
BA.2.12.1,10/2/21,1,62.45,5/28/22,0.78,0.78
BA.2,10/9/21,1,73.74,4/16/22,0.96,0.96
XBB.1.5,10/9/21,0,84.15,4/1/23,0.94,0.94
BQ.1.1,1/8/22,13,38.06,12/31/22,0.86,0.86
EG.5,4/15/23,66,23.37,9/30/23,0.0,0.67
HV.1,4/15/23,0,31.13,11/25/23,0.37,0.6
KP.3,5/6/23,3,24.1,6/8/24,0.83,0.9
JN.1,8/26/23,16,80.66,2/3/24,0.67,0.75
KP.3.1.1,12/30/23,18,52.36,10/12/24,0.8,0.91
XEC,1/13/24,2,39.67,1/18/25,0.44,0.53
LP.8.1,1/13/24,0,65.47,4/26/25,0.5,0.67
XFG,2/8/25,56,71.7,9/27/25,0.33,0.5
XFG.1.1,7/5/25,21,26.25,4/11/26,0.45,0.5
