Date,MMWR_week,Location,Estimate_child,Estimate_adult
9/30/2023,1,AK,0,1.8
10/7/2023,2,AK,1.6698,3.9
10/14/2023,3,AK,1.6698,9.7
10/21/2023,4,AK,1.6698,11.6
10/28/2023,5,AK,1.6698,11.6
11/4/2023,6,AK,4.7472,11.6
11/11/2023,7,AK,4.9421,11.6
11/18/2023,8,AK,4.9421,11.6
11/25/2023,9,AK,4.9421,13.2
12/2/2023,10,AK,7.3454,14.3
12/9/2023,11,AK,7.3454,14.3
12/16/2023,12,AK,7.3454,16.5
12/23/2023,13,AK,7.3454,16.5
12/30/2023,14,AK,7.3454,16.5
1/6/2024,15,AK,8.1148,16.5
1/13/2024,16,AK,8.601,16.5
1/20/2024,17,AK,8.601,16.7
1/27/2024,18,AK,8.601,17.1
2/3/2024,19,AK,8.601,17.5
2/10/2024,20,AK,8.601,17.5
2/17/2024,21,AK,8.601,17.5
2/24/2024,22,AK,8.601,17.6
3/2/2024,23,AK,9.3182,17.8
3/9/2024,24,AK,9.3182,17.8
3/16/2024,25,AK,9.3182,17.8
3/23/2024,26,AK,9.3182,17.8
3/30/2024,27,AK,9.3182,18.2
4/6/2024,28,AK,9.8228,18.5
4/13/2024,29,AK,9.8228,18.5
4/20/2024,30,AK,9.8228,18.5
4/27/2024,31,AK,9.8228,18.7
5/4/2024,32,AK,9.8228,19.0
5/11/2024,33,AK,9.8228,19.0
5/18/2024,34,AK,9.8228,19.0
5/25/2024,35,AK,9.8228,19.0
6/1/2024,36,AK,9.8228,19.0
6/8/2024,37,AK,9.8228,19.0
6/15/2024,38,AK,10.6017,19.0
6/22/2024,39,AK,10.6017,19.0
6/30/2024,40,AK,10.6017,19.1
7/6/2024,41,AK,,19.2
7/13/2024,42,AK,,19.2
7/20/2024,43,AK,,19.5
7/27/2024,44,AK,,19.5
8/3/2024,45,AK,,19.5
8/10/2024,46,AK,,19.5
8/17/2024,47,AK,,19.5
9/7/2024,1,AK,,3.3
9/14/2024,2,AK,,3.3
9/21/2024,3,AK,,6.5
9/28/2024,4,AK,,6.5
10/5/2024,5,AK,2.0922,6.5
10/12/2024,6,AK,2.0922,6.5
10/19/2024,7,AK,2.0922,6.5
10/26/2024,8,AK,4.3737,10.0
11/2/2024,9,AK,6.6551,13.4
11/9/2024,10,AK,6.6551,13.5
11/16/2024,11,AK,6.6551,13.9
11/23/2024,12,AK,6.6551,16.7
11/30/2024,13,AK,7.8336,16.7
12/7/2024,14,AK,9.012,16.7
12/14/2024,15,AK,9.012,16.7
12/21/2024,16,AK,9.012,16.7
12/28/2024,17,AK,9.4868,17.3
1/4/2025,18,AK,9.748,17.9
1/11/2025,19,AK,9.748,17.9
1/18/2025,20,AK,9.748,17.9
1/25/2025,21,AK,9.984,18.2
2/1/2025,22,AK,10.2199,18.5
2/8/2025,23,AK,10.2199,18.5
2/15/2025,24,AK,10.2199,19.5
2/22/2025,25,AK,10.3813,19.5
3/1/2025,26,AK,10.5427,19.5
3/8/2025,27,AK,10.5427,19.5
3/15/2025,28,AK,10.5427,19.5
3/22/2025,29,AK,10.5427,19.5
3/29/2025,30,AK,10.601,20.4
4/5/2025,31,AK,10.6593,20.9
4/12/2025,32,AK,10.6593,20.9
4/19/2025,33,AK,10.6593,20.9
4/26/2025,34,AK,10.9436,20.9
5/3/2025,35,AK,11.2279,
5/10/2025,36,AK,11.2279,
5/17/2025,37,AK,11.2279,
5/24/2025,38,AK,11.3552,
5/31/2025,39,AK,11.3552,
6/7/2025,40,AK,11.3552,
6/14/2025,41,AK,11.3552,
6/21/2025,42,AK,11.3552,
6/28/2025,43,AK,11.3552,
10/4/2025,1,AK,3.7726,
10/11/2025,2,AK,3.7726,9.9
10/18/2025,3,AK,3.7726,9.9
10/25/2025,4,AK,4.9673,11.0
11/1/2025,5,AK,6.1621,12.1
11/8/2025,6,AK,6.3147,12.8
11/15/2025,7,AK,6.3147,14.2
11/22/2025,8,AK,7.8788,14.2
11/29/2025,9,AK,8.0735,14.6
12/6/2025,10,AK,8.0735,15.1
12/13/2025,11,AK,8.0735,15.1
12/20/2025,12,AK,8.0735,15.1
12/27/2025,13,AK,8.7483,15.8
9/30/2023,1,AL,0.9289,2.5
10/7/2023,2,AL,0.9289,2.5
10/14/2023,3,AL,0.9289,3.7
10/21/2023,4,AL,1.164,5.7
10/28/2023,5,AL,1.164,7.5
11/4/2023,6,AL,3.2316,8.3
11/11/2023,7,AL,3.2316,8.3
11/18/2023,8,AL,3.2316,9.6
11/25/2023,9,AL,3.2316,9.6
12/2/2023,10,AL,4.8671,9.6
12/9/2023,11,AL,4.8671,9.6
12/16/2023,12,AL,4.8671,9.6
12/23/2023,13,AL,4.8671,11.3
12/30/2023,14,AL,4.8671,11.3
1/6/2024,15,AL,6.1006,11.3
1/13/2024,16,AL,6.1006,11.3
1/20/2024,17,AL,6.1006,12.1
1/27/2024,18,AL,6.1006,12.2
2/3/2024,19,AL,6.1955,12.2
2/10/2024,20,AL,6.1955,12.2
2/17/2024,21,AL,6.1955,12.2
2/24/2024,22,AL,6.1955,12.5
3/2/2024,23,AL,6.8498,12.7
3/9/2024,24,AL,6.8498,12.7
3/16/2024,25,AL,6.8498,12.7
3/23/2024,26,AL,6.8498,12.7
3/30/2024,27,AL,6.8498,13.1
4/6/2024,28,AL,7.0454,13.1
4/13/2024,29,AL,7.0454,13.1
4/20/2024,30,AL,7.0454,13.2
4/27/2024,31,AL,7.0454,13.2
5/4/2024,32,AL,7.0454,13.3
5/11/2024,33,AL,7.0454,13.3
5/18/2024,34,AL,7.0454,13.4
5/25/2024,35,AL,7.0454,13.4
6/1/2024,36,AL,7.0454,13.5
6/8/2024,37,AL,7.0454,13.5
6/15/2024,38,AL,7.0454,13.5
6/22/2024,39,AL,7.0454,13.5
6/30/2024,40,AL,7.0454,13.5
7/6/2024,41,AL,,13.6
7/13/2024,42,AL,,13.6
7/20/2024,43,AL,,13.6
7/27/2024,44,AL,,13.6
8/3/2024,45,AL,,13.6
8/10/2024,46,AL,,14.2
8/17/2024,47,AL,,14.2
9/7/2024,1,AL,,1.3
9/14/2024,2,AL,,2.8
9/21/2024,3,AL,,4.0
9/28/2024,4,AL,,5.2
10/5/2024,5,AL,1.7384,5.8
10/12/2024,6,AL,3.9004,5.8
10/19/2024,7,AL,3.9004,9.2
10/26/2024,8,AL,3.9004,9.2
11/2/2024,9,AL,3.9004,9.2
11/9/2024,10,AL,3.9004,9.7
11/16/2024,11,AL,3.9004,9.7
11/23/2024,12,AL,3.9004,10.6
11/30/2024,13,AL,4.2888,10.7
12/7/2024,14,AL,4.6772,10.8
12/14/2024,15,AL,4.6772,11.0
12/21/2024,16,AL,4.6772,11.3
12/28/2024,17,AL,4.7888,11.3
1/4/2025,18,AL,4.9004,11.3
1/11/2025,19,AL,4.9004,11.3
1/18/2025,20,AL,4.9004,11.3
1/25/2025,21,AL,5.0405,11.5
2/1/2025,22,AL,5.1806,11.7
2/8/2025,23,AL,5.1806,11.7
2/15/2025,24,AL,5.1806,12.2
2/22/2025,25,AL,5.4067,12.2
3/1/2025,26,AL,5.6327,12.2
3/8/2025,27,AL,5.6327,12.2
3/15/2025,28,AL,5.6327,12.2
3/22/2025,29,AL,5.6327,12.4
3/29/2025,30,AL,5.6327,12.6
4/5/2025,31,AL,5.6327,12.6
4/12/2025,32,AL,5.6327,12.6
4/19/2025,33,AL,5.7134,12.6
4/26/2025,34,AL,5.7134,12.6
5/3/2025,35,AL,5.7134,
5/10/2025,36,AL,5.7134,
5/17/2025,37,AL,5.7134,
5/24/2025,38,AL,5.7134,
5/31/2025,39,AL,5.9888,
6/7/2025,40,AL,6.2642,
6/14/2025,41,AL,6.2642,
6/21/2025,42,AL,6.2642,
6/28/2025,43,AL,6.2642,
10/4/2025,1,AL,1.32,
10/11/2025,2,AL,1.32,4.6
10/18/2025,3,AL,1.32,5.0
10/25/2025,4,AL,1.7984,5.7
11/1/2025,5,AL,2.2768,6.3
11/8/2025,6,AL,2.2768,6.3
11/15/2025,7,AL,2.2768,6.3
11/22/2025,8,AL,2.2768,7.3
11/29/2025,9,AL,2.8888,7.3
12/6/2025,10,AL,3.5009,7.3
12/13/2025,11,AL,3.5009,7.3
12/20/2025,12,AL,3.5009,8.0
12/27/2025,13,AL,3.5919,8.0
9/30/2023,1,AR,0,1.3
10/7/2023,2,AR,1.5153,5.5
10/14/2023,3,AR,1.5153,5.9
10/21/2023,4,AR,1.5153,5.9
10/28/2023,5,AR,1.5153,8.5
11/4/2023,6,AR,4.0368,9.9
11/11/2023,7,AR,4.0368,9.9
11/18/2023,8,AR,4.0368,12.3
11/25/2023,9,AR,4.0368,12.5
12/2/2023,10,AR,5.3914,12.7
12/9/2023,11,AR,5.3914,12.7
12/16/2023,12,AR,5.3914,12.7
12/23/2023,13,AR,5.3914,12.7
12/30/2023,14,AR,5.3914,13.7
1/6/2024,15,AR,6.067,14.1
1/13/2024,16,AR,6.3725,14.1
1/20/2024,17,AR,6.3725,14.1
1/27/2024,18,AR,6.3725,14.6
2/3/2024,19,AR,6.3725,15.1
2/10/2024,20,AR,6.7608,15.1
2/17/2024,21,AR,6.7608,15.1
2/24/2024,22,AR,6.7608,15.3
3/2/2024,23,AR,6.7608,15.6
3/9/2024,24,AR,6.7608,15.6
3/16/2024,25,AR,6.7608,15.6
3/23/2024,26,AR,6.7608,15.6
3/30/2024,27,AR,7.1305,15.7
4/6/2024,28,AR,7.1305,15.8
4/13/2024,29,AR,7.1305,15.8
4/20/2024,30,AR,7.1305,15.8
4/27/2024,31,AR,7.1305,16.0
5/4/2024,32,AR,7.1305,16.3
5/11/2024,33,AR,7.1305,16.3
5/18/2024,34,AR,7.1305,16.3
5/25/2024,35,AR,7.1305,16.3
6/1/2024,36,AR,7.843,16.3
6/8/2024,37,AR,7.843,16.3
6/15/2024,38,AR,7.843,16.3
6/22/2024,39,AR,7.843,16.3
6/30/2024,40,AR,7.843,16.3
7/6/2024,41,AR,,16.3
7/13/2024,42,AR,,16.3
7/20/2024,43,AR,,16.3
7/27/2024,44,AR,,16.4
8/3/2024,45,AR,,16.4
8/10/2024,46,AR,,16.4
8/17/2024,47,AR,,16.4
9/7/2024,1,AR,,0.5
9/14/2024,2,AR,,0.5
9/21/2024,3,AR,,0.5
9/28/2024,4,AR,,2.9
10/5/2024,5,AR,1.4024,5.2
10/12/2024,6,AR,3.7248,5.9
10/19/2024,7,AR,3.7248,10.2
10/26/2024,8,AR,3.7248,10.3
11/2/2024,9,AR,3.7248,10.3
11/9/2024,10,AR,3.7248,10.3
11/16/2024,11,AR,3.7248,10.3
11/23/2024,12,AR,3.7248,11.9
11/30/2024,13,AR,5.123,12.5
12/7/2024,14,AR,5.123,13.2
12/14/2024,15,AR,5.123,13.2
12/21/2024,16,AR,5.123,13.2
12/28/2024,17,AR,5.352,13.6
1/4/2025,18,AR,5.581,14.0
1/11/2025,19,AR,5.581,14.0
1/18/2025,20,AR,5.581,14.0
1/25/2025,21,AR,5.8292,14.4
2/1/2025,22,AR,6.0773,14.8
2/8/2025,23,AR,6.0773,14.8
2/15/2025,24,AR,6.0773,15.4
2/22/2025,25,AR,6.3236,15.4
3/1/2025,26,AR,6.57,15.4
3/8/2025,27,AR,6.57,15.4
3/15/2025,28,AR,6.57,15.4
3/22/2025,29,AR,6.57,15.4
3/29/2025,30,AR,6.6376,15.4
4/5/2025,31,AR,6.7053,15.4
4/12/2025,32,AR,6.7053,15.4
4/19/2025,33,AR,6.7053,15.4
4/26/2025,34,AR,6.7053,15.4
5/3/2025,35,AR,6.7053,
5/10/2025,36,AR,6.7053,
5/17/2025,37,AR,6.7053,
5/24/2025,38,AR,6.7053,
5/31/2025,39,AR,6.7053,
6/7/2025,40,AR,6.7053,
6/14/2025,41,AR,6.7053,
6/21/2025,42,AR,6.7053,
6/28/2025,43,AR,6.7053,
10/4/2025,1,AR,0.8745,
10/11/2025,2,AR,0.8745,3.6
10/18/2025,3,AR,0.8745,7.0
10/25/2025,4,AR,1.37,7.0
11/1/2025,5,AR,1.8656,7.0
11/8/2025,6,AR,1.8656,7.9
11/15/2025,7,AR,1.8656,7.9
11/22/2025,8,AR,1.8656,7.9
11/29/2025,9,AR,2.5183,9.2
12/6/2025,10,AR,3.1711,9.7
12/13/2025,11,AR,3.1711,9.7
12/20/2025,12,AR,3.1711,9.7
12/27/2025,13,AR,3.2187,10.6
9/30/2023,1,AZ,0,4.6
10/7/2023,2,AZ,2.7379,6.8
10/14/2023,3,AZ,2.7434,6.8
10/21/2023,4,AZ,2.8143,12.0
10/28/2023,5,AZ,2.8143,12.0
11/4/2023,6,AZ,6.1465,12.0
11/11/2023,7,AZ,6.8532,13.2
11/18/2023,8,AZ,6.8532,13.7
11/25/2023,9,AZ,6.8532,14.7
12/2/2023,10,AZ,9.1033,15.3
12/9/2023,11,AZ,9.1033,15.3
12/16/2023,12,AZ,9.1033,15.3
12/23/2023,13,AZ,9.1033,15.3
12/30/2023,14,AZ,9.1033,16.7
1/6/2024,15,AZ,11.1228,18.1
1/13/2024,16,AZ,11.1228,18.1
1/20/2024,17,AZ,11.1228,19.4
1/27/2024,18,AZ,11.1228,19.4
2/3/2024,19,AZ,12.5188,19.5
2/10/2024,20,AZ,12.5188,19.5
2/17/2024,21,AZ,12.5188,20.3
2/24/2024,22,AZ,12.5188,20.3
3/2/2024,23,AZ,12.5188,20.3
3/9/2024,24,AZ,12.5188,20.3
3/16/2024,25,AZ,12.5188,20.3
3/23/2024,26,AZ,12.5188,20.7
3/30/2024,27,AZ,12.5188,20.9
4/6/2024,28,AZ,13.2254,21.0
4/13/2024,29,AZ,13.2254,21.3
4/20/2024,30,AZ,13.2254,21.3
4/27/2024,31,AZ,13.2254,21.3
5/4/2024,32,AZ,13.2254,21.3
5/11/2024,33,AZ,13.2254,21.3
5/18/2024,34,AZ,13.2254,21.3
5/25/2024,35,AZ,13.2254,21.5
6/1/2024,36,AZ,13.3899,21.8
6/8/2024,37,AZ,13.3899,21.8
6/15/2024,38,AZ,13.3899,21.8
6/22/2024,39,AZ,13.3899,21.8
6/30/2024,40,AZ,13.3899,22.1
7/6/2024,41,AZ,,22.5
7/13/2024,42,AZ,,22.5
7/20/2024,43,AZ,,22.9
7/27/2024,44,AZ,,22.9
8/3/2024,45,AZ,,22.9
8/10/2024,46,AZ,,22.9
8/17/2024,47,AZ,,22.9
9/7/2024,1,AZ,,1.0
9/14/2024,2,AZ,,1.0
9/21/2024,3,AZ,,1.0
9/28/2024,4,AZ,,4.9
10/5/2024,5,AZ,2.1771,8.8
10/12/2024,6,AZ,4.9573,9.2
10/19/2024,7,AZ,4.9573,13.2
10/26/2024,8,AZ,4.9573,13.8
11/2/2024,9,AZ,4.9573,14.5
11/9/2024,10,AZ,4.9573,17.4
11/16/2024,11,AZ,4.9573,17.4
11/23/2024,12,AZ,4.9573,17.4
11/30/2024,13,AZ,5.4733,17.4
12/7/2024,14,AZ,5.9893,17.4
12/14/2024,15,AZ,5.9893,17.4
12/21/2024,16,AZ,5.9893,17.4
12/28/2024,17,AZ,6.2477,18.8
1/4/2025,18,AZ,6.5061,18.8
1/11/2025,19,AZ,6.6929,18.8
1/18/2025,20,AZ,6.6929,19.8
1/25/2025,21,AZ,6.6929,20.3
2/1/2025,22,AZ,6.6929,20.8
2/8/2025,23,AZ,6.6929,20.8
2/15/2025,24,AZ,6.6929,20.8
2/22/2025,25,AZ,7.1327,21.1
3/1/2025,26,AZ,7.5725,21.4
3/8/2025,27,AZ,7.5725,21.4
3/15/2025,28,AZ,7.5725,21.4
3/22/2025,29,AZ,7.5725,21.4
3/29/2025,30,AZ,7.6618,21.4
4/5/2025,31,AZ,7.7511,21.4
4/12/2025,32,AZ,7.7511,21.4
4/19/2025,33,AZ,7.7511,21.4
4/26/2025,34,AZ,7.7511,21.4
5/3/2025,35,AZ,7.7511,
5/10/2025,36,AZ,7.7511,
5/17/2025,37,AZ,7.7511,
5/24/2025,38,AZ,7.7511,
5/31/2025,39,AZ,7.7511,
6/7/2025,40,AZ,7.7511,
6/14/2025,41,AZ,7.7511,
6/21/2025,42,AZ,7.7511,
6/28/2025,43,AZ,7.7511,
10/4/2025,1,AZ,1.746,
10/11/2025,2,AZ,1.746,7.4
10/18/2025,3,AZ,1.746,9.0
10/25/2025,4,AZ,3.0631,10.0
11/1/2025,5,AZ,4.3803,11.0
11/8/2025,6,AZ,4.3803,11.0
11/15/2025,7,AZ,4.3803,11.0
11/22/2025,8,AZ,4.3803,11.0
11/29/2025,9,AZ,4.9476,12.2
12/6/2025,10,AZ,5.515,13.3
12/13/2025,11,AZ,5.515,13.6
12/20/2025,12,AZ,5.515,14.4
12/27/2025,13,AZ,5.9422,14.9
9/30/2023,1,CA,1.1622,4.3
10/7/2023,2,CA,2.3137,5.8
10/14/2023,3,CA,4.4336,8.9
10/21/2023,4,CA,4.4336,12.6
10/28/2023,5,CA,4.4336,13.4
11/4/2023,6,CA,8.6842,14.3
11/11/2023,7,CA,8.7951,14.5
11/18/2023,8,CA,9.1552,16.0
11/25/2023,9,CA,9.1552,16.7
12/2/2023,10,CA,12.2592,17.3
12/9/2023,11,CA,12.3536,17.3
12/16/2023,12,CA,12.3536,19.7
12/23/2023,13,CA,12.3536,19.7
12/30/2023,14,CA,12.3536,20.2
1/6/2024,15,CA,15.2996,20.2
1/13/2024,16,CA,15.2996,20.2
1/20/2024,17,CA,15.5757,20.2
1/27/2024,18,CA,15.5757,21.1
2/3/2024,19,CA,16.208,22.0
2/10/2024,20,CA,16.208,22.1
2/17/2024,21,CA,16.208,22.1
2/24/2024,22,CA,16.208,22.6
3/2/2024,23,CA,16.9805,23.1
3/9/2024,24,CA,16.9805,23.4
3/16/2024,25,CA,16.9805,23.4
3/23/2024,26,CA,17.8221,23.4
3/30/2024,27,CA,17.8221,24.1
4/6/2024,28,CA,17.8221,24.2
4/13/2024,29,CA,18.3201,24.2
4/20/2024,30,CA,18.3201,24.2
4/27/2024,31,CA,18.3201,24.4
5/4/2024,32,CA,18.668,24.7
5/11/2024,33,CA,18.9433,24.7
5/18/2024,34,CA,18.9433,24.7
5/25/2024,35,CA,18.9433,25.0
6/1/2024,36,CA,19.0943,25.3
6/8/2024,37,CA,19.0943,25.3
6/15/2024,38,CA,19.0943,25.3
6/22/2024,39,CA,19.0943,25.5
6/30/2024,40,CA,19.0943,25.7
7/6/2024,41,CA,,26.0
7/13/2024,42,CA,,26.0
7/20/2024,43,CA,,26.3
7/27/2024,44,CA,,26.4
8/3/2024,45,CA,,26.5
8/10/2024,46,CA,,26.5
8/17/2024,47,CA,,26.5
9/7/2024,1,CA,,2.7
9/14/2024,2,CA,,7.7
9/21/2024,3,CA,,7.7
9/28/2024,4,CA,,10.5
10/5/2024,5,CA,4.4273,13.2
10/12/2024,6,CA,4.4273,13.6
10/19/2024,7,CA,5.3275,13.6
10/26/2024,8,CA,6.9622,16.3
11/2/2024,9,CA,8.597,18.9
11/9/2024,10,CA,9.1549,19.5
11/16/2024,11,CA,9.1549,19.5
11/23/2024,12,CA,11.7754,19.5
11/30/2024,13,CA,11.7754,21.2
12/7/2024,14,CA,11.7754,22.9
12/14/2024,15,CA,11.7754,23.1
12/21/2024,16,CA,11.7754,24.4
12/28/2024,17,CA,12.6123,24.4
1/4/2025,18,CA,13.4491,24.4
1/11/2025,19,CA,13.4491,24.4
1/18/2025,20,CA,13.4491,24.5
1/25/2025,21,CA,13.9013,25.0
2/1/2025,22,CA,14.3536,25.5
2/8/2025,23,CA,14.3536,25.5
