"hhs_week_start","year","travel_to_us_total"
"2020-12-27","2021","250398.000000"
"2021-01-03","2021","1230562.000000"
"2021-01-10","2021","979188.000000"
"2021-01-17","2021","934628.000000"
"2021-01-24","2021","858144.000000"
"2021-01-31","2021","810497.000000"
"2021-02-07","2021","821962.000000"
"2021-02-14","2021","857153.000000"
"2021-02-21","2021","910596.000000"
"2021-02-28","2021","942914.000000"
"2021-03-07","2021","962995.000000"
"2021-03-14","2021","1055655.000000"
"2021-03-21","2021","1128832.000000"
"2021-03-28","2021","1118686.000000"
"2021-04-04","2021","1170352.000000"
"2021-04-11","2021","1163898.000000"
"2021-04-18","2021","1157598.000000"
"2021-04-25","2021","1169050.000000"
"2021-05-02","2021","1187806.000000"
"2021-05-09","2021","1255987.000000"
"2021-05-16","2021","1268004.000000"
"2021-05-23","2021","1245184.000000"
"2021-05-30","2021","1368453.000000"
"2021-06-06","2021","1292640.000000"
"2021-06-13","2021","1320959.000000"
"2021-06-20","2021","1340090.000000"
"2021-06-27","2021","1347715.000000"
"2021-07-04","2021","1403711.000000"
"2021-07-11","2021","1408571.000000"
"2021-07-18","2021","1435006.000000"
"2021-07-25","2021","1467666.000000"
"2021-08-01","2021","1477844.000000"
"2021-08-08","2021","1466253.000000"
"2021-08-15","2021","1454009.000000"
"2021-08-22","2021","1380430.000000"
"2021-08-29","2021","1340139.000000"
"2021-09-05","2021","1457619.000000"
"2021-09-12","2021","1312847.000000"
"2021-09-19","2021","1330502.000000"
"2021-09-26","2021","1336585.000000"
"2021-10-03","2021","1284378.000000"
"2021-10-10","2021","1361149.000000"
"2021-10-17","2021","1339456.000000"
"2021-10-24","2021","1319609.000000"
"2021-10-31","2021","1294215.000000"
"2021-11-07","2021","1535200.000000"
"2021-11-14","2021","1569233.000000"
"2021-11-21","2021","1580702.000000"
"2021-11-28","2021","1664381.000000"
"2021-12-05","2021","1492644.000000"
"2021-12-12","2021","1550139.000000"
"2021-12-19","2021","1520549.000000"
"2021-12-26","2021","1698887.000000"
"2021-12-26","2022","184032.000000"
"2022-01-02","2022","1876709.000000"
"2022-01-09","2022","1457836.000000"
"2022-01-16","2022","1382671.000000"
"2022-01-23","2022","1320053.000000"
"2022-01-30","2022","1343668.000000"
"2022-02-06","2022","1395963.000000"
"2022-02-13","2022","1462061.000000"
"2022-02-20","2022","1589287.000000"
"2022-02-27","2022","1584559.000000"
"2022-03-06","2022","1552899.000000"
"2022-03-13","2022","1636996.000000"
"2022-03-20","2022","1778915.000000"
"2022-03-27","2022","1724073.000000"
"2022-04-03","2022","1764965.000000"
"2022-04-10","2022","272383.000000"
"2022-05-29","2022","1035677.000000"
"2022-06-05","2022","1949870.000000"
"2022-06-12","2022","2009268.000000"
"2022-06-19","2022","2097551.000000"
"2022-06-26","2022","2190703.000000"
"2022-07-03","2022","2283669.000000"
"2022-07-10","2022","2195635.000000"
"2022-07-17","2022","2250286.000000"
"2022-07-24","2022","2266453.000000"
"2022-07-31","2022","2263034.000000"
"2022-08-07","2022","2130063.000000"
"2022-08-14","2022","2046144.000000"
"2022-08-21","2022","1973488.000000"
"2022-08-28","2022","1946591.000000"
"2022-09-04","2022","2066513.000000"
"2022-09-11","2022","1980076.000000"
"2022-09-18","2022","1984639.000000"
"2022-09-25","2022","1978074.000000"
"2022-10-02","2022","1999282.000000"
"2022-10-09","2022","2038294.000000"
"2022-10-16","2022","1991333.000000"
"2022-10-23","2022","1949152.000000"
"2022-10-30","2022","1880494.000000"
"2022-11-06","2022","1890340.000000"
"2022-11-13","2022","1944604.000000"
"2022-11-20","2022","1918804.000000"
"2022-11-27","2022","1955579.000000"
"2022-12-04","2022","1746885.000000"
"2022-12-11","2022","1773326.000000"
"2022-12-18","2022","1801596.000000"
"2022-12-25","2022","1959822.000000"
"2023-01-01","2022","235863.000000"
"2023-01-01","2023","2173351.000000"
"2023-01-08","2023","1833075.000000"
"2023-01-15","2023","1778217.000000"
"2023-01-22","2023","1697360.000000"
"2023-01-29","2023","1668450.000000"
"2023-02-05","2023","1724508.000000"
"2023-02-12","2023","1796652.000000"
"2023-02-19","2023","1929387.000000"
"2023-02-26","2023","1867743.000000"
"2023-03-05","2023","1890977.000000"
"2023-03-12","2023","1999336.000000"
"2023-03-19","2023","2039660.000000"
"2023-03-26","2023","2008911.000000"
"2023-04-02","2023","2177982.000000"
"2023-04-09","2023","2052972.000000"
"2023-04-16","2023","1989466.000000"
"2023-04-23","2023","2048836.000000"
