Date,MMWR_week,Location,vac2021_1,vac2021_1_Pop_Pct,vac2021_1_5Plus,vac2021_1_5PlusPop_Pct,vac2021_1_12Plus,vac2021_1_12PlusPop_Pct,vac2021_1_18Plus,vac2021_1_18PlusPop_Pct,vac2021_1_65Plus,vac2021_1_65PlusPop_Pct,vac2021_2,vac2021_2_Vax_Pct,vac2021_2_5Plus,vac2021_2_5Plus_Vax_Pct,vac2021_2_12Plus,vac2021_2_12Plus_Vax_Pct,vac2021_2_18Plus,vac2021_2_18Plus_Vax_Pct,vac2021_2_50Plus,vac2021_2_50Plus_Vax_Pct,vac2021_2_65Plus,vac2021_2_65Plus_Vax_Pct,vac2022_1,vac2022_1_50Plus,vac2022_1_50Plus_Vax_Pct,vac2022_1_65Plus,vac2022_1_65Plus_Vax_Pct,vac2022_2,vac2022_2_5Plus,vac2022_2_5Plus_Pop_Pct,vac2022_2_12Plus,vac2022_2_12Plus_Pop_Pct,vac2022_2_18Plus,vac2022_2_18Plus_Pop_Pct,vac2022_2_65Plus,vac2022_2_65Plus_Pop_Pct
1/1/21,53,AK,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,
1/2/21,53,AK,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,
1/3/21,1,AK,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,
1/4/21,1,AK,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,
1/5/21,1,AK,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,
1/6/21,1,AK,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,
1/7/21,1,AK,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,
1/8/21,1,AK,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,
1/9/21,1,AK,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,
1/10/21,2,AK,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,
1/11/21,2,AK,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,
1/12/21,2,AK,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,
1/13/21,2,AK,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,
1/14/21,2,AK,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,
1/15/21,2,AK,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,
1/16/21,2,AK,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,
1/17/21,3,AK,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,
1/18/21,3,AK,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,
