usa_or_hhsregion,variant,Date,share,share_hi,share_lo,time_interval,modeltype,nchs_or_count_flag,region
1,A.2.5,2021-01-30,0.0,,,biweekly,weighted,1.0,region_01
1,B.1.628,2021-01-30,0.0,,,biweekly,weighted,1.0,region_01
1,B.1.526.2,2021-01-30,0.00148458161856975,0.034036561846733,0.0002516266831662,biweekly,weighted,1.0,region_01
1,AY.1,2021-01-30,0.0,,,biweekly,weighted,1.0,region_01
1,B.1.526.1,2021-01-30,0.0007379417462895,0.01654715867092205,3.2412043462133334e-05,biweekly,weighted,1.0,region_01
1,P.2,2021-01-30,0.008453499422305133,0.014731234456929844,0.004842733602142955,biweekly,weighted,1.0,region_01
1,B.1.617.3,2021-01-30,0.0,,,biweekly,weighted,1.0,region_01
1,P.1,2021-01-30,0.0,,,biweekly,weighted,1.0,region_01
1,B.1.351,2021-01-30,0.0,,,biweekly,weighted,1.0,region_01
1,AY.2,2021-01-30,0.0,,,biweekly,weighted,1.0,region_01
1,B.1.427,2021-01-30,0.00825501291546965,0.012662712883736342,0.007056785348270571,biweekly,weighted,1.0,region_01
1,B.1.621,2021-01-30,0.0,,,biweekly,weighted,1.0,region_01
1,B.1.525,2021-01-30,0.0016878185172875166,0.03627641964703794,7.592381431696667e-05,biweekly,weighted,1.0,region_01
1,B.1.626,2021-01-30,0.0,,,biweekly,weighted,1.0,region_01
1,B.1.621.1,2021-01-30,0.0,,,biweekly,weighted,1.0,region_01
1,B.1.526,2021-01-30,0.0172242112457752,0.0282302238047122,0.0104628736153244,biweekly,weighted,0.0,region_01
1,B.1.596,2021-01-30,0.06395488418638705,0.10377031750977032,0.03875481523573395,biweekly,weighted,0.0,region_01
1,B.1.2,2021-01-30,0.3202540837228298,0.4478641599416733,0.21499132364988321,biweekly,weighted,0.0,region_01
1,B.1.429,2021-01-30,0.038164935695628295,0.1020666087667147,0.013798835376898392,biweekly,weighted,0.0,region_01
1,B.1.617.1,2021-01-30,0.0,,,biweekly,weighted,1.0,region_01
1,B.1.1.519,2021-01-30,0.0,,,biweekly,weighted,1.0,region_01
1,B.1.617,2021-01-30,0.0,,,biweekly,weighted,1.0,region_01
1,B.1.617.2,2021-01-30,0.00369543989654625,0.0257209173093239,0.0009279097624433,biweekly,weighted,1.0,region_01
1,B.1.1.7,2021-01-30,0.005151538023104216,0.034313643195976774,0.000753899061237425,biweekly,weighted,1.0,region_01
1,Other,2021-01-30,0.6240712975462278,0.7195811122655869,0.5245289628704389,biweekly,weighted,0.0,region_01
1,B.1,2021-01-30,0.07895244434475895,0.12742916792631145,0.04843626040965315,biweekly,weighted,0.0,region_01
1,AY.3,2021-01-30,0.0,,,biweekly,weighted,1.0,region_01
1,B.1.1,2021-01-30,0.0216532368212938,0.0341646894812583,0.0136588076129555,biweekly,weighted,1.0,region_01
1,B.1.617,2021-02-13,0.0,,,biweekly,weighted,1.0,region_01
1,B.1.429,2021-02-13,0.023037083912640772,0.03879526661088064,0.013671760059272182,biweekly,weighted,0.0,region_01
1,B.1.621,2021-02-13,0.0,,,biweekly,weighted,1.0,region_01
1,B.1,2021-02-13,0.060870655067265,0.08010986708104605,0.04646214302629228,biweekly,weighted,0.0,region_01
1,AY.2,2021-02-13,0.0,,,biweekly,weighted,1.0,region_01
1,B.1.1.519,2021-02-13,0.013625417939490722,0.026653776152266377,0.006943634400765033,biweekly,weighted,0.0,region_01
1,B.1.526,2021-02-13,0.04203948176776364,0.1153041239206989,0.014521504635922567,biweekly,weighted,0.0,region_01
1,B.1.596,2021-02-13,0.04685321170836682,0.0768104055896401,0.028701765928417423,biweekly,weighted,0.0,region_01
1,AY.3,2021-02-13,0.0,,,biweekly,weighted,1.0,region_01
