Date,usa_or_hhsregion,variant,share,share_hi,share_lo,time_interval,modeltype,nchs_or_count_flag,region
2024-08-17,1,KP.2.3,0.13315875828,0.22659035027,0.06799372286,biweekly,weighted,0.0,region_01
2024-08-24,1,KP.2.3,0.11491261050000001,0.178824596105,0.06839293614,biweekly,weighted,,region_01
2024-08-31,1,KP.2.3,0.09666646272,0.13105884194,0.06879214942,biweekly,weighted,0.0,region_01
2024-09-07,1,KP.2.3,0.107146713885,0.155929423865,0.06964866817000001,biweekly,weighted,,region_01
2024-09-14,1,KP.2.3,0.11762696505,0.18080000579,0.07050518692,biweekly,weighted,0.0,region_01
2024-08-03,1,KP.3,0.24477407336,0.34100821614,0.16423016787,biweekly,weighted,0.0,region_01
2024-08-10,1,KP.3,0.20896119438,0.29340577498,0.1392178069825,biweekly,weighted,,region_01
2024-08-17,1,KP.3,0.1731483154,0.24580333382,0.114205446095,biweekly,weighted,,region_01
2024-08-24,1,KP.3,0.13733543642,0.19820089266000002,0.0891930852075,biweekly,weighted,,region_01
2024-08-31,1,KP.3,0.10152255744,0.1505984515,0.06418072432,biweekly,weighted,0.0,region_01
2024-07-20,1,KP.3.1.1,0.14100895822,0.2175205797,0.08355843276,biweekly,weighted,0.0,region_01
2024-07-27,1,KP.3.1.1,0.16161543876,0.26370470971,0.0872258693,biweekly,weighted,,region_01
2024-08-03,1,KP.3.1.1,0.1822219193,0.30988883972,0.09089330584,biweekly,weighted,0.0,region_01
2024-08-10,1,KP.3.1.1,0.25967772305000003,0.3659607321,0.175107512625,biweekly,weighted,,region_01
2024-08-17,1,KP.3.1.1,0.3371335268,0.42203262448,0.25932171941,biweekly,weighted,0.0,region_01
2024-08-24,1,KP.3.1.1,0.37520124763,0.460693515835,0.2951427325625,biweekly,weighted,,region_01
2024-08-31,1,KP.3.1.1,0.41326896846000005,0.49935440719,0.330963745715,biweekly,weighted,,region_01
2024-09-07,1,KP.3.1.1,0.45133668929000004,0.538015298545,0.36678475886749995,biweekly,weighted,,region_01
2024-09-14,1,KP.3.1.1,0.48940441012,0.5766761899,0.40260577202,biweekly,weighted,0.0,region_01
2024-09-21,1,KP.3.1.1,0.513087049125,0.61536028981,0.40952001512,biweekly,weighted,,region_01
2024-09-28,1,KP.3.1.1,0.53676968813,0.65404438972,0.41643425822,biweekly,weighted,0.0,region_01
2024-10-05,1,KP.3.1.1,0.57848659158,0.69033837318,0.46049825847000003,biweekly,weighted,,region_01
2024-10-12,1,KP.3.1.1,0.62020349503,0.72663235664,0.50456225872,biweekly,weighted,0.0,region_01
2024-10-19,1,KP.3.1.1,0.56955960393,0.66217410564,0.47198876738500006,biweekly,weighted,,region_01
2024-10-26,1,KP.3.1.1,0.51891571283,0.59771585464,0.43941527605,biweekly,weighted,0.0,region_01
2024-11-02,1,KP.3.1.1,0.465281143785,0.54780106246,0.38432097435,biweekly,weighted,,region_01
2024-11-09,1,KP.3.1.1,0.41164657474,0.49788627028,0.32922667265,biweekly,weighted,0.0,region_01
2024-11-16,1,KP.3.1.1,0.42068381608,0.509587869045,0.335393577815,biweekly,weighted,,region_01
2024-11-23,1,KP.3.1.1,0.42972105742,0.52128946781,0.34156048298,biweekly,weighted,0.0,region_01
2024-11-30,1,KP.3.1.1,0.37917809188499996,0.462767884135,0.300304606555,biweekly,weighted,,region_01
2024-12-07,1,KP.3.1.1,0.32863512635,0.40424630046,0.25904873013,biweekly,weighted,0.0,region_01
2024-08-03,1,LB.1,0.19396953285,0.27024820447,0.13140007854,biweekly,weighted,0.0,region_01
2024-08-10,1,LB.1,0.16837960481999997,0.24718282372,0.10690876842,biweekly,weighted,,region_01
2024-08-17,1,LB.1,0.14278967679,0.22411744297,0.0824174583,biweekly,weighted,0.0,region_01
2024-08-24,1,LB.1,0.13465584814999998,0.205349057915,0.08132490515999999,biweekly,weighted,,region_01
2024-08-31,1,LB.1,0.12652201951,0.18658067286,0.08023235202,biweekly,weighted,0.0,region_01
2024-09-07,1,LB.1,0.12041438743499999,0.184153079985,0.07276412471999999,biweekly,weighted,,region_01
2024-09-14,1,LB.1,0.11430675536,0.18172548711,0.06529589742,biweekly,weighted,0.0,region_01
2024-09-21,1,LB.1,0.0993800954875,0.1599903423325,0.055952621155,biweekly,weighted,,region_01
2024-09-28,1,LB.1,0.084453435615,0.138255197555,0.04660934489,biweekly,weighted,,region_01
2024-10-05,1,LB.1,0.0695267757425,0.1165200527775,0.037266068625,biweekly,weighted,,region_01
2024-10-12,1,LB.1,0.05460011587,0.094784908,0.02792279236,biweekly,weighted,0.0,region_01
2024-12-07,1,LP.8.1,0.07815044373,0.12888714671,0.04277381673,biweekly,weighted,0.0,region_01
2023-03-04,1,XBB.1.5,0.8635122776,0.899759233,0.82011759281,weekly,weighted,0.0,region_01
2023-03-11,1,XBB.1.5,0.90534120798,0.93956565857,0.86046552658,weekly,weighted,0.0,region_01
2023-03-18,1,XBB.1.5,0.86682569981,0.91486698389,0.80493569374,weekly,weighted,0.0,region_01
2023-03-25,1,XBB.1.5,0.8441091577233334,0.9146682620033333,0.7466364900266667,weekly,weighted,,region_01
2023-04-01,1,XBB.1.5,0.8213926156366667,0.9144695401166667,0.6883372863133334,weekly,weighted,,region_01
2023-04-08,1,XBB.1.5,0.79867607355,0.91427081823,0.6300380826,weekly,weighted,0.0,region_01
2024-10-26,1,XEC,0.13507667184,0.21504978836,0.07649787515,biweekly,weighted,0.0,region_01
2024-11-02,1,XEC,0.170619145035,0.28445813805,0.08811362087499999,biweekly,weighted,,region_01
2024-11-09,1,XEC,0.20616161823,0.35386648774,0.0997293666,biweekly,weighted,0.0,region_01
2024-11-16,1,XEC,0.225263945755,0.34883527457499997,0.130676005035,biweekly,weighted,,region_01
2024-11-23,1,XEC,0.24436627328,0.34380406141,0.16162264347,biweekly,weighted,0.0,region_01
2024-11-30,1,XEC,0.278100468215,0.37510444223499995,0.19457847625,biweekly,weighted,,region_01
2024-12-07,1,XEC,0.31183466315,0.40640482306,0.22753430903,biweekly,weighted,0.0,region_01
2021-07-10,2,AY.3,0.10563221574,0.16511289775,0.06588798016,weekly,weighted,0.0,region_02
2021-07-17,2,AY.3,0.14148338139,0.49119219184,0.0273631718,weekly,weighted,0.0,region_02
2021-07-24,2,AY.3,0.15336430073,0.48946031928,0.03309417889,weekly,weighted,0.0,region_02
2021-07-31,2,AY.3,0.1743850857,0.59695065022,0.02924117073,weekly,weighted,0.0,region_02
2021-12-18,2,B.1.1.529,0.35847708583,0.45981329679,0.26564478874,weekly,weighted,0.0,region_02
2021-07-10,2,B.1.1.7,0.03029437177,0.08292679489,0.0106780231,weekly,weighted,0.0,region_02
2021-07-17,2,B.1.1.7,0.02072079666,0.1113525331,0.0035602483,weekly,weighted,0.0,region_02
2021-07-24,2,B.1.1.7,0.00793096144,0.04769195244,0.00127451902,weekly,weighted,0.0,region_02
2021-07-31,2,B.1.1.7,0.00625721179,0.02612631582,0.00147569575,weekly,weighted,0.0,region_02
2021-06-12,2,B.1.617.2,0.2684327364,0.36769652367,0.1837130338,weekly,weighted,0.0,region_02
2021-06-19,2,B.1.617.2,0.36465549469,0.45420250297,0.2815091908,weekly,weighted,0.0,region_02
2021-06-26,2,B.1.617.2,0.56365031004,0.69320392609,0.42740616202,weekly,weighted,0.0,region_02
2021-07-03,2,B.1.617.2,0.72645360231,0.81408780813,0.62378615141,weekly,weighted,0.0,region_02
2021-07-10,2,B.1.617.2,0.7590189576149999,0.85279750824,0.638433009385,weekly,weighted,0.0,region_02
2021-07-17,2,B.1.617.2,0.781814754005,0.903088986875,0.587714657185,weekly,weighted,0.0,region_02
2021-07-24,2,B.1.617.2,0.8747736215599999,0.9502835571799999,0.7198860943300001,weekly,weighted,0.0,region_02
2021-07-31,2,B.1.617.2,0.886212229725,0.96832087636,0.698992431165,weekly,weighted,0.0,region_02
2021-08-07,2,B.1.617.2,0.97800934315,0.98606753349,0.96707999706,weekly,weighted,0.0,region_02
2021-08-14,2,B.1.617.2,0.98739665747,0.99410361052,0.97652202845,weekly,weighted,0.0,region_02
2021-08-21,2,B.1.617.2,0.99020880461,0.9959936738,0.9801184535,weekly,weighted,0.0,region_02
2021-08-28,2,B.1.617.2,0.97827553749,0.99537360668,0.93855142593,weekly,weighted,0.0,region_02
2021-09-04,2,B.1.617.2,0.99033689499,0.99688214064,0.97748929262,weekly,weighted,0.0,region_02
2021-09-11,2,B.1.617.2,0.99738192558,0.99914073944,0.99393486977,weekly,weighted,0.0,region_02
2021-09-18,2,B.1.617.2,0.98914259672,0.99868124723,0.96134352684,weekly,weighted,0.0,region_02
2021-09-25,2,B.1.617.2,0.99529123306,0.99816161394,0.99014174938,weekly,weighted,0.0,region_02
2021-10-02,2,B.1.617.2,0.98813271523,0.99693435431,0.96905261278,weekly,weighted,0.0,region_02
2021-10-09,2,B.1.617.2,0.99080389738,0.99750626087,0.97654116154,weekly,weighted,0.0,region_02
2021-10-16,2,B.1.617.2,0.9946295619,0.99844133854,0.98673284054,weekly,weighted,0.0,region_02
