variant,start_date,peak_date,end_date,duration_days,peak_share_pct
B.1.617.2,2021-05-15,2021-10-30,2022-10-29,532,99.16384071124999
BA.1.1,2021-05-15,2022-02-19,2024-07-06,1148,75.00394135725
B.1.1.529,2021-06-12,2022-01-22,2025-12-20,1652,37.38103136425
BA.2,2022-01-22,2022-04-16,2025-08-02,1288,71.5474918485
BA.2.12.1,2022-01-22,2022-06-11,2024-06-08,868,59.732177853500005
BA.5,2022-03-19,2022-09-03,2024-03-16,728,86.27215176825001
BA.4,2022-04-16,2022-07-09,2023-01-21,280,12.16523237525
BA.4.6,2022-06-11,2022-10-01,2024-12-21,924,9.735371917499998
BA.2.75,2022-07-09,2022-10-29,2023-06-10,336,1.1349852897500001
BA.5.2.6,2022-07-09,2022-11-26,2024-03-16,616,1.61341545175
BF.7,2022-08-06,2022-11-26,2024-10-26,812,7.05862008025
BF.11,2022-08-06,2022-11-26,2023-06-10,308,1.1620053557499999
BA.2.75.2,2022-09-03,2022-10-29,2023-04-15,224,0.4978473299999999
BQ.1,2022-09-03,2022-12-24,2025-07-05,1036,25.340389211999998
BQ.1.1,2022-09-03,2023-01-21,2024-04-13,588,33.95130932325
BN.1,2022-10-01,2022-12-24,2023-08-05,308,3.4057727706666667
XBB,2022-10-01,2023-08-05,2024-05-11,588,5.28437076125
CH.1.1,2022-10-29,2023-01-21,2024-12-21,784,1.3948649166666667
XBB.1.5,2022-11-26,2023-04-15,2025-04-12,868,78.891803324
FD.2,2022-12-24,2023-03-18,2023-09-02,252,2.428343705666667
XBB.1.5.1,2022-12-24,2023-04-15,2023-10-28,308,1.775278151
XBB.1.9.1,2023-01-21,2023-06-10,2024-03-16,420,9.861095249666667
XBB.1.9.2,2023-01-21,2023-07-08,2024-01-20,364,4.067974538
XBB.1.5.10,2023-01-21,2023-07-08,2023-12-23,336,3.3311663199999995
XBB.2.3,2023-02-18,2023-08-05,2024-07-06,504,9.229735657500001
XBB.1.5.68,2023-02-18,2023-08-05,2023-12-23,308,1.2449619360000002
XBB.1.5.59,2023-02-18,2023-08-05,2023-11-25,280,0.48962531900000006
FE.1.1,2023-03-18,2023-06-10,2023-11-25,252,2.1352313460000003
EU.1.1,2023-03-18,2023-06-10,2023-10-28,224,1.572724059
XBB.1.16,2023-03-18,2023-07-08,2025-12-20,1008,12.463126828333333
XBB.1.16.1,2023-03-18,2023-07-08,2024-04-13,392,6.6404620806666665
FD.1.1,2023-03-18,2023-07-08,2023-12-23,280,0.6998792054999999
XBB.1.5.72,2023-04-15,2023-08-05,2023-12-23,252,1.589789521
GE.1,2023-04-15,2023-09-02,2024-05-11,392,1.5974520705000002
EG.5,2023-04-15,2023-09-30,2025-08-30,868,23.803001145666666
EG.6.1,2023-05-13,2023-08-05,2024-01-20,252,1.6972682439999998
XBB.2.3.8,2023-05-13,2023-08-05,2023-12-23,224,0.725481426
XBB.1.42.2,2023-05-13,2023-09-02,2024-01-20,252,1.489617769
XBB.1.5.70,2023-05-13,2023-09-02,2024-02-17,280,1.291503664
XBB.1.16.6,2023-05-13,2023-09-30,2024-05-11,364,9.312360982000001
XBB.1.16.11,2023-05-13,2023-10-28,2024-04-13,336,3.4462171607500003
FL.1.5.1,2023-06-10,2023-09-30,2024-04-13,308,11.145230383
